date,code,name,price,turnover,amount_m,amplitude,bias_ma5,rsi,kdj_j,boll_pct,ma20_slope,day_1_ret,day_3_ret,day_5_ret,day_10_ret
2026-09-01,002632,道明光学,8.98,6.18,316.45,10.84,4.49,60.38,70.07,124.68,0.47,,,,
2026-09-01,600712,南宁百货,5.8,4.81,149.43,5.25,4.28,56.14,102.11,105.73,0.256,,,,
2026-08-31,002871,伟隆股份,18.56,5.69,153.58,11.58,7.71,65.54,87.38,118.96,1.019,1.78,,,
2026-08-28,603172,万丰股份,19.5,6.04,152.31,11.2,8.02,67.37,86.3,122.53,1.094,-3.33,,,
2026-08-27,000632,三木集团,4.27,9.26,179.65,8.75,9.71,75.41,87.13,117.42,1.226,2.81,-3.51,,
2026-08-26,603105,芯能科技,8.08,9.57,377.27,8.4,7.82,70.14,98.41,123.04,0.665,-2.48,-5.69,,
2026-08-26,000715,中兴商业,5.61,6.15,167.18,7.87,6.17,72.51,70.37,104.82,0.876,1.25,1.43,,
2026-08-25,002339,积成电子,7.45,4.85,170.61,7.06,4.55,51.81,65.25,81.41,0.249,-0.4,0.0,2.15,
2026-08-25,002394,联发股份,10.19,4.72,154.98,12.08,5.38,67.92,43.62,89.98,0.893,3.04,1.18,7.46,
2026-08-20,002427,尤夫股份,4.61,5.23,238.13,11.01,4.44,74.7,46.5,98.63,0.645,-1.74,-1.52,2.39,
2026-08-20,600692,亚通股份,6.49,5.65,92.23,9.37,4.24,72.46,66.8,93.49,0.855,-2.93,0.0,-0.77,
2026-08-17,002346,柘中股份,24.33,5.26,558.27,9.67,10.13,87.98,101.81,105.56,1.905,7.27,-2.71,,
2026-08-13,600156,华升股份,9.09,11.18,406.92,9.35,6.94,76.9,82.97,100.66,0.972,-7.37,-9.24,-13.2,-5.5
2026-08-10,000953,河化股份,6.1,4.64,101.6,7.69,6.38,78.21,108.52,115.65,0.864,,,,
2026-08-10,603506,南都物业,10.97,4.34,88.16,8.72,6.77,85.81,105.01,109.06,0.709,-3.46,-4.38,-1.37,-3.56
2026-08-10,002746,仙坛股份,6.57,5.34,245.73,7.43,5.29,80.39,92.19,123.04,0.748,,,,
2026-08-07,601101,昊华能源,13.5,5.97,1150.1,5.27,12.43,67.93,104.33,122.84,1.296,-0.81,,,
2026-08-07,603456,九洲药业,16.45,6.33,892.09,9.22,6.05,88.64,109.55,88.87,0.701,0.36,,,
2026-08-07,002698,博实股份,13.68,7.52,875.28,9.52,3.23,70.8,54.89,91.17,0.47,-0.88,,,
